sub _id,first_name,last_name,Street,Birth_date,Gender,Phone,Country,City,ZipCode,Subgrp_id,Elig_ind,eff_date,term_date
SUBID10053,,Sonkar,Shetty Marg,6/27/1988,Male,+91 6877897646,India,Pali,383290,S102,Y,6/27/2008,10/30/2016
SUBID10054,Shivakari,Pratap,Dugar Road,11/2/1944,Female,+91 3740484063,India,Hapur,28202,S104,N,11/2/1964,6/15/1967
SUBID10055,Madhu,Thakur,Sule Marg,10/23/1984,Male,+91 8367885507,India,Udaipur,565423,S107,N,10/23/2004,7/10/2008
SUBID10056,Chanak,Gupta,Shetty Nagar,8/27/1954,Male,+91 5093121123,India,Jalandhar,602989,S105,N,8/27/1974,6/15/1982
SUBID10057,Chittesh,Pandey,Mangal Chowk,10/17/1949,Male,+91 1378163498,India,Thoothukudi,666415,S109,Y,10/17/1969,10/8/1975
SUBID1058,Nawal,Rajput,Deol Nagar,1/22/1940,Male,+91 1885105576,India,Bhopal,791168,S106,N,1/22/1960,4/18/1969
SUBID10059,Gajabahu,Singh,Kara,3/15/1959,Male,+91 1207869436,India,Udupi,637221,S101,Y,3/15/1979,7/5/1986
SUBID10060,Jitesh,Vishwakarma,Gopal Path,2/3/1983,Male,+91 6515468035,India,Karimnagar,124564,S110,Y,2/3/2003,4/30/2008
SUBID10061,,Rajput,Anand Path,9/25/1966,Female,+91 6477918745,India,Kharagpur,934938,S103,,9/25/1986,6/3/1991
SUBID1062,Lalit,Mishra,Comar Street,2/15/1924,Female,+91 4647833992,India,Tinsukia,963770,S103,N,2/15/1944,9/28/1947
SUBID1063,Anshuk,Srivastav,Sridhar Path,6/17/1991,Male,+91 9764690642,India,Uluberia,270985,S105,N,6/17/2011,7/11/2014
SUBID10064,,Pandey,Mangat Path,1/13/1994,Male,+91 8444537013,India,Panihati,643791,S110,N,1/13/2014,2/24/2019
SUBID1065,Dipesh,Mishra,Char Path,4/1/1949,Female,+91 5851958964,India,Kochi,31269,S103,Y,4/1/1969,6/2/1970
SUBID10066,,Seth,Chaudhuri Marg,9/1/1930,Male,+91 7061843400,India,Kolhapur,597470,S102,N,9/1/1950,12/1/1957
SUBID1067,Kishan,Rao,Badal Nagar,5/12/1923,Male,+91 9067652693,India,Srikakulam,703899,S110,Y,5/12/1943,9/20/1946
SUBID10068,,Mishra,Bath Nagar,2/26/1927,Female,+91 4984346995,India,Ambarnath,766224,S110,N,2/26/1947,3/30/1948
SUBID10069,Bhageeratha,Srivastav,Das Ganj,3/21/1973,Male,+91 0590662722,India,Sonipat,695316,S103,Y,3/21/1993,8/1/1997
SUBID10070,Balaaditya,Gupta,Varty Road,11/2/1923,Male,+91 3871269153,India,Hajipur,3526,S109,N,11/2/1943,9/24/1952
SUBID10071,,Rai,Choudhury Chowk,12/26/1941,Female,+91 9287216619,India,Vellore,239532,S101,N,12/26/1961,2/23/1969
SUBID10072,Gopal,Srivastav,Desai Street,3/11/1936,Female,+91 3791210190,India,Bidhannagar,761800,S103,Y,3/11/1956,7/28/1964
SUBID1073,Virender,Maurrya,Chakrabarti,10/27/1936,Male,+91 7734026802,India,Bhusawal,374302,S104,N,10/27/1956,4/27/1961
SUBID10074,,Singh,Kalla Path,11/21/1963,Male,+91 7881749363,India,Bokaro,866319,S105,Y,11/21/1983,9/29/1985
SUBID10075,,Singh,Iyengar Nagar,1/29/1956,Male,+91 6891482136,India,Navi Mumbai,836175,S107,N,1/29/1976,5/25/1979
SUBID10076,Mamta,Tiwari,Batra,12/21/1964,Female,+91 5559521919,India,Secunderabad,123181,S104,N,12/21/1984,1/8/1987
SUBID10077,Girija,Maurrya,Iyengar Road,4/25/1933,Male,+91 1811765039,India,Jaipur,204379,S105,N,4/25/1953,4/18/1963
SUBID10078,Aaraadhana,Rao,Raval Nagar,2/7/1980,Male,+91 2432610572,India,Jhansi,429941,S108,N,2/7/2000,2/6/2005
SUBID10079,Shahnawaz,Mishra,Agate Path,6/24/1971,Female,+91 4117017589,India,Rampur,528893,S102,Y,6/24/1991,9/13/2000
SUBID10080,Tej,Sonkar,Sarraf Chowk,6/11/1942,Male,+91 3450311029,India,Haridwar,506221,S105,Y,6/11/1962,10/14/1964
SUBID10081,Mansi,Divedi,Bhattacharyya Road,3/20/1947,Female,+91 1135113927,India,Hosur,995152,S105,Y,3/20/1967,7/25/1971
SUBID10082,Girika,Thakur,Sinha Zila,11/3/1968,Female,+91 5601148700,India,Hospet,683614,S102,N,11/3/1988,1/21/1992
SUBID10083,Bhilangana,Pandit,Ramachandran Path,1/4/1995,Female,+91 6653069630,India,Fatehpur,359466,S109,Y,1/4/2015,10/5/2017
SUBID10084,,Thakur,Raval Zila,6/7/1924,Female,+91 7367059254,India,Bhavnagar,464111,S107,Y,6/7/1944,5/22/1952
SUBID10085,Sukanya,Sonkar,Sangha Street,1/16/1942,Female,+91 5689645499,India,Vijayanagaram,226215,S101,N,1/16/1962,4/10/1967
SUBID1086,Banita,Rao,Thakur,1/28/1979,Male,+91 4743834161,India,Ghaziabad,907613,S109,N,1/28/1999,9/5/2000
SUBID1087,,Pandit,Srivastava Path,12/10/1924,Female,+91 9158965227,India,Sambhal,279219,S103,N,12/10/1944,7/16/1951
SUBID10088,,Rajput,Dua Zila,7/30/1922,Female,+91 9523946101,India,Tadipatri,743449,S110,N,7/30/1942,6/7/1949
SUBID10089,Dhuha,Tiwari,Aggarwal Street,8/21/1952,Male,+91 3188519840,India,Rampur,492137,S104,,8/21/1972,5/13/1981
SUBID10090,,Mishra,Chandran Nagar,6/7/1938,Female,+91 6869721169,India,Sikar,564747,S101,Y,6/7/1958,8/23/1967
SUBID1091,,Thakur,Bala,12/31/1930,Male,+91 9664169480,India,Kamarhati,682652,S110,Y,12/31/1950,6/21/1958
SUBID10092,,Rai,Karan Street,8/22/1940,Others,+91 7498206646,India,Ghaziabad,79586,S108,N,8/22/1960,10/6/1966
SUBID10093,Chandavarman,Singh,Sarkar Circle,5/10/1997,Others,+91 6559031791,India,Navi Mumbai,83240,S110,N,5/10/2017,8/27/2022
SUBID10094,Charanpal,Yadav,Sehgal Circle,10/12/1986,Male,+91 2196055115,India,Gurgaon,640326,S109,Y,10/12/2006,5/13/2016
SUBID10095,Ekaaksh,Rai,Bansal Ganj,12/2/1933,Others,,India,Pimpri-Chinchwad,158186,S107,N,12/2/1953,7/29/1960
SUBID10096,Chanak,Sonkar,Kaur,4/7/1959,Others,+91 7284540687,India,Raurkela Industrial Township,899590,S101,Y,4/7/1979,3/7/1986
SUBID10097,,Sonkar,Rana Ganj,2/4/1940,Others,+91 8908240160,India,Mira-Bhayandar,896586,S107,Y,2/4/1960,1/12/1965
SUBID1098,Pushkar,Kumar,Sodhi Zila,10/5/1934,Others,+91 8956368286,India,Korba,910732,S107,Y,10/5/1954,4/5/1961
SUBID10099,Shikha,Srivastav,Ahuja Road,9/6/1970,Others,+91 3042509956,India,Nanded,101500,S109,Y,9/6/1990,11/27/1997
